Date,Exercise,Category,Type,Set,Weight,WeightType,Reps,Duration,Note
__UNIT__,lbs,,,,,,,,
__BODYWEIGHT__,180,,,,,,,,
__SPLITS__,Rest,Push,Pull,Legs,Rest,Push,Pull,,
__DAYSPLIT__,2025-10-13,Push,,,,,,,
2025-10-13,Bench Press,push,reps,1,130,lbs,4,,Mood:2|General:First session in 2 years. Humbling.
2025-10-13,Bench Press,push,reps,2,130,lbs,5,,
2025-10-13,Bench Press,push,reps,3,130,lbs,5,,
2025-10-13,Lateral Raises,push,reps,1,20,lbs,12,,
2025-10-13,Lateral Raises,push,reps,2,20,lbs,11,,
2025-10-13,Lateral Raises,push,reps,3,20,lbs,10,,
2025-10-13,Overhead Press,push,reps,1,90,lbs,5,,General:Shoulder clicking during these
2025-10-13,Overhead Press,push,reps,2,90,lbs,5,,
2025-10-13,Overhead Press,push,reps,3,90,lbs,5,,
__DAYSPLIT__,2025-10-19,Legs,,,,,,,
2025-10-19,Romanian Deadlift,legs,reps,1,155,lbs,5,,Mood:3|General:DOMS from last session still
2025-10-19,Romanian Deadlift,legs,reps,2,155,lbs,5,,
2025-10-19,Romanian Deadlift,legs,reps,3,155,lbs,5,,
2025-10-19,Squat,legs,reps,1,155,lbs,5,,Mood:3|Form:Knees tracking toes
2025-10-19,Squat,legs,reps,2,155,lbs,5,,
2025-10-19,Squat,legs,reps,3,155,lbs,5,,
__DAYSPLIT__,2025-10-21,Push,,,,,,,
2025-10-21,Bench Press,push,reps,1,130,lbs,5,,Mood:3|Form:Squeeze at top
2025-10-21,Bench Press,push,reps,2,130,lbs,4,,
2025-10-21,Bench Press,push,reps,3,130,lbs,5,,
2025-10-21,Lateral Raises,push,reps,1,20,lbs,11,,Mood:3
2025-10-21,Lateral Raises,push,reps,2,20,lbs,10,,
2025-10-21,Lateral Raises,push,reps,3,20,lbs,10,,
2025-10-21,Overhead Press,push,reps,1,90,lbs,5,,
2025-10-21,Overhead Press,push,reps,2,90,lbs,5,,
2025-10-21,Overhead Press,push,reps,3,90,lbs,5,,
__DAYSPLIT__,2025-10-25,Pull,,,,,,,
